oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,0,0,0,0,0,0,0,0,20053,20053,0,0,0,0,0,0,0,0,0,2,10941,Feb2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,0,0,0,0,0,0,0,0,23842,23742,100,0,16,12,6,98,0,0,5,5,12535,Feb2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,0,0,0,0,0,0,0,0,13833,13833,0,0,0,0,0,0,0,0,0,2,9544,Feb2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,0,0,0,0,0,0,0,0,26491,26491,0,0,0,2,0,0,0,0,0,0,19874,Feb2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,0,0,0,0,0,0,0,0,20149,20149,0,0,0,2,0,0,0,0,0,2,8002,Feb2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,0,0,0,0,0,0,0,0,12758,12758,0,0,0,0,0,0,0,0,0,3,4351,Feb2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,0,0,0,0,0,0,0,0,27180,19026,8154,0,10,11,2,21,0,0,1,6,15075,Feb2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,0,0,0,0,0,0,0,0,29839,29839,0,0,2,3,0,2,0,0,0,6,12250,Feb2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,0,0,0,0,0,0,0,20940,20940,0,0,0,2,0,0,0,0,0,3,14896,Mar2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,0,0,0,0,0,0,0,31895,31784,111,0,43,59,47,504,0,0,15,17,9507,Mar2022
